Назва,Вид,Місто,Сайт,Пошта (Email)
"Садиба ""У Павла""","Готель / Гостиниця","Україна","",""
"Садиба ""У Савчинів""","Готель / Гостиниця","Україна","",""
"Садиба ""У Яни""","Готель / Гостиниця","Україна","",""
"Садиба ""У друзів""","Готель / Гостиниця","Україна","",""
"Приватний дім ""Яворина""","Готель / Гостиниця","Україна","",""
"Черес","Готель / Гостиниця","Україна","",""
"Яблуницький перевал","Готель / Гостиниця","Україна","",""
"Медовый месяц","Готель / Гостиниця","Україна","",""
"база отдыха Жуковка","Готель / Гостиниця","Україна","",""
"Сюжет","Готель / Гостиниця","Україна","",""
"Слонотель","Готель / Гостиниця","Україна","",""
"Мини-панионат ""Морской""","Готель / Гостиниця","Україна","",""
"Крымское приморье","Готель / Гостиниця","Україна","",""
"Дом у причала","Готель / Гостиниця","Україна","",""
"У Тети Эсмы","Готель / Гостиниця","Україна","",""
"Княжий Град","Готель / Гостиниця","Україна","",""
"Горизонт","Готель / Гостиниця","Україна","",""
"Дубна","Готель / Гостиниця","Україна","",""
"Спорт","Готель / Гостиниця","Україна","",""
"Dolce Vita","Готель / Гостиниця","Україна","",""
"Коттедж ""Сказка""","Готель / Гостиниця","Україна","",""
"Анастасия","Готель / Гостиниця","Україна","",""
"База отдыха ""Афалина""","Готель / Гостиниця","Україна","",""
"Вилла Лунный Бриз","Готель / Гостиниця","Україна","",""
"Дом отдыха ""Флора""","Готель / Гостиниця","Україна","",""
"Пансионат Империал","Готель / Гостиниця","Україна","",""
"Райский уголок","Готель / Гостиниця","Україна","",""
"Kolvik","Готель / Гостиниця","Україна","",""
"Roots hostel","Готель / Гостиниця","Україна","http://rootshostel.com","rootshostel@gmail.com"
"Спелеохата ""Кристал""","Готель / Гостиниця","Україна","",""
"Санаторій ""Яремче""","Готель / Гостиниця","Україна","",""
"Ямал","Готель / Гостиниця","Україна","",""
"Гурзуфские зори","Готель / Гостиниця","Україна","",""
"Ай-Даник","Готель / Гостиниця","Україна","",""
"Вилла Мария","Готель / Гостиниця","Україна","",""
"Сон у моря","Готель / Гостиниця","Україна","",""
"Вилла Ангел","Готель / Гостиниця","Україна","",""
"Вилла Сим-Сим","Готель / Гостиниця","Україна","",""
"Вилла ""Айсберг""","Готель / Гостиниця","Україна","",""
"Синай","Готель / Гостиниця","Україна","",""
"У Марселя","Готель / Гостиниця","Україна","",""
"База У Дяди Саши","Готель / Гостиниця","Україна","",""
"Baza u Diady Sashy","Готель / Гостиниця","Україна","",""
"Гончар","Готель / Гостиниця","Україна","",""
"Воздвиженський","Готель / Гостиниця","Україна","",""
"Вилла Ламбада","Готель / Гостиниця","Україна","",""
"Пансионат ""Орел""","Готель / Гостиниця","Україна","",""
"Вилла ""Снегири""","Готель / Гостиниця","Україна","",""
"Избушка","Готель / Гостиниця","Україна","","innaisaeva09@rambler.ru"
"Юность","Готель / Гостиниця","Україна","",""
"Коктебельская Слобода","Готель / Гостиниця","Україна","https://hotel-sloboda.com/","support@beget.com; bills@beget.com; manager@beget.com"
"Паломнический центр Фавор","Готель / Гостиниця","Україна","",""
"Фрегат Санта-Мария","Готель / Гостиниця","Україна","",""
"Арена","Готель / Гостиниця","Україна","","arena.nomera@mail.ru"
"Горный","Готель / Гостиниця","Україна","","fsingorniy@mail.ru"
"Вилла Рай","Готель / Гостиниця","Україна","",""
"Ай-Тодор Юг","Готель / Гостиниця","Україна","",""
"Skilandhouse","Готель / Гостиниця","Україна","",""
"Буков'єл","Готель / Гостиниця","Поляниця","",""
"Вілла Лоіза","Готель / Гостиниця","Україна","",""
"Вілла Морішка","Готель / Гостиниця","Поляниця","",""
"Крымский дворик","Готель / Гостиниця","Україна","",""
"Пансионат ""Таврида-Плаза""","Готель / Гостиниця","Україна","",""
"Парус","Готель / Гостиниця","Україна","",""
"Леополь","Готель / Гостиниця","Україна","",""
"Мона Лиза","Готель / Гостиниця","Україна","",""
"Подворье","Готель / Гостиниця","Україна","",""
"Коттедж-апартаменты ""Shangri-La""","Готель / Гостиниця","Україна","",""
"База отдыха ""Артемида""","Готель / Гостиниця","Україна","",""
"Del Mar","Готель / Гостиниця","Україна","",""
"Villa Leku","Готель / Гостиниця","Поляниця","https://leku.in.ua/","lekuvilla@gmail.com"
"Villa Milena","Готель / Гостиниця","Україна","https://villamilena.com.ua/",""
"Богданов Яр","Готель / Гостиниця","Україна","",""
"Елеонора","Готель / Гостиниця","Україна","",""
"Вілла Влад","Готель / Гостиниця","Поляниця","https://villavlad.com.ua/","villavlad533@gmail.com"
"Марилен","Готель / Гостиниця","Україна","",""
"У Галини","Готель / Гостиниця","Україна","https://bukovel-galyna.com.ua/","bukovelgalyna@gmail.com"
"Гірський Прутець","Готель / Гостиниця","Україна","https://bukovel-hotel.com.ua/",""
"Bella Vista","Готель / Гостиниця","Україна","https://villa-bellavista.com.ua/","bukovelbellavista@gmail.com"
"Усадьба ""Александрия""","Готель / Гостиниця","Україна","","us.aleksandriya1@gmail.com"
"Частный пансионат ""У Моря""","Готель / Гостиниця","Україна","",""
"ОСК ""Чайка""","Готель / Гостиниця","Україна","",""
"ПапаЯ","Готель / Гостиниця","Україна","",""
"Мар Ле Мар","Готель / Гостиниця","Україна","",""
"База відпочинку ""Коралл""","Готель / Гостиниця","Україна","",""
"Hilton Kyiv","Готель / Гостиниця","Україна","https://www3.hilton.com/en/hotels/ukraine/hilton-kyiv-KBPHIHI/index.html?WT.mc_id=zELWAKN0EMEA1HI2DMH3LocalSearch4DGGenericx6KBPHIHI","kyiv.reservations@hilton.com"
"Favor Sport","Готель / Гостиниця","Україна","",""
"Мини-гостиница ""Ранчо""","Готель / Гостиниця","Україна","",""
"Santurina","Готель / Гостиниця","Україна","",""
"MIA Stella","Готель / Гостиниця","Україна","",""
"Ефес","Готель / Гостиниця","Україна","",""
"Доминика","Готель / Гостиниця","Україна","",""
"Подсолнухи","Готель / Гостиниця","Україна","",""
"Чарда","Готель / Гостиниця","Україна","",""
"Вилла Анет","Готель / Гостиниця","Україна","https://villa-anet.com.ua/",""
"Бунгало","Готель / Гостиниця","Україна","",""
"Lviv Hostel StareMisto","Готель / Гостиниця","Україна","",""
"Бриз","Готель / Гостиниця","Україна","",""
"Место под солнцем","Готель / Гостиниця","Україна","",""
"Пансионат ""Береговой""","Готель / Гостиниця","Україна","",""
"Садиба на джерелах","Готель / Гостиниця","Україна","",""
"Гостевой дом «Узунджа»","Готель / Гостиниця","Україна","",""
"Ясинець","Готель / Гостиниця","Україна","",""
"Domino","Готель / Гостиниця","Україна","",""
"F&B Spa Resort (Fomich Hotel)","Готель / Гостиниця","Поляниця","https://www.yaremcha.com.ua/goryankaru.html","info@hotel-fomich.com.ua"
"Горянка","Готель / Гостиниця","Поляниця","",""
"Гуцульська світлиця","Готель / Гостиниця","Україна","",""
"Пансионат «Песчаный берег»","Готель / Гостиниця","Україна","",""
"Alfavito","Готель / Гостиниця","Україна","",""
"Мини-пансионат Валенсия","Готель / Гостиниця","Україна","",""
"Катюша на Подгорной","Готель / Гостиниця","Україна","","kupchishin@mail.ru"
"Вояж","Готель / Гостиниця","Україна","","polina333@inbox.ru"
"Уютный коттедж","Готель / Гостиниця","Україна","","max.art@list.ru"
"Гостевой дом","Готель / Гостиниця","Україна","","anadrion.sad@gmail.com"
"База отдыха ""Политехник-1""","Готель / Гостиниця","Україна","",""
"Сімейний підвал параски","Готель / Гостиниця","Україна","",""
"Гостьовий будинок Іда","Готель / Гостиниця","Україна","","balogh.csalad@gmail.com"
"Babushka Grand","Готель / Гостиниця","Україна","",""
"Адлер","Готель / Гостиниця","Україна","",""
"Оазис","Готель / Гостиниця","Україна","","oasis.kokt@gmail.com"
"Медведь","Готель / Гостиниця","Україна","https://medved-resort.com/","info@medved-resort.com"
"Золотые ворота","Готель / Гостиниця","Україна","","golden12345@inbox.ru"
"Пансионат ""Глициния""","Готель / Гостиниця","Україна","",""
"Пансионат Казантип-Лазурный","Готель / Гостиниця","Україна","",""
"Мини-пансионат ""Виктория""","Готель / Гостиниця","Україна","",""
"Валентина","Готель / Гостиниця","Україна","",""
"Милета","Готель / Гостиниця","Україна","",""
"Ай-Петри","Готель / Гостиниця","Україна","",""
"Чемодан","Готель / Гостиниця","Україна","",""
"Зеленые домики","Готель / Гостиниця","Україна","",""
"Три Брати","Готель / Гостиниця","Україна","",""
"Старий Краків","Готель / Гостиниця","Україна","",""
"Віка","Готель / Гостиниця","Україна","",""
"Ватра","Готель / Гостиниця","Україна","",""
"Швейцарський Готель","Готель / Гостиниця","Україна","https://swiss-hotel.lviv.ua/","info@swiss-hotel.lviv.ua; swisshotellviv@gmail.com; manager@swiss-hotel.lviv.ua"
"Еней","Готель / Гостиниця","Україна","",""
"Skyta","Готель / Гостиниця","Україна","","vskyta@gmail.com"
"Карпатські Зорі","Готель / Гостиниця","Україна","",""
"New Life","Готель / Гостиниця","Україна","https://newlifehostel.com/","info@newlifehostel.com"
"Магазин","Готель / Гостиниця","Україна","",""
"Роксолана","Готель / Гостиниця","Україна","",""
"Комплекс Мечта","Готель / Гостиниця","Україна","",""
"Home stay","Готель / Гостиниця","Україна","",""
"Cats' House Hostel","Готель / Гостиниця","Україна","https://catshostel.org/","info@dpereklad.com.ua"
"Лумшори","Готель / Гостиниця","Україна","",""
"Porto Mare","Готель / Гостиниця","Україна","",""
"Zolota pidkova Exclusive","Готель / Гостиниця","Україна","",""
"Отуз","Готель / Гостиниця","Україна","",""
"Атланта","Готель / Гостиниця","Україна","",""
"Санаторій ім. М. Гоголя","Готель / Гостиниця","Україна","",""
"Cisar","Готель / Гостиниця","Україна","",""
"Like Hostel","Готель / Гостиниця","Україна","",""
"Yard","Готель / Гостиниця","Україна","","yard.hostel.cv@gmail.com"
"Барон Гартенберг","Готель / Гостиниця","Україна","",""
"Бульвар","Готель / Гостиниця","Україна","",""
"Економ-Хостел","Готель / Гостиниця","Україна","https://hostel.cv.ua/","grandee@hostel.cv.ua"
"Камуфляж","Готель / Гостиниця","Україна","","helenbora@mail.ru"
"Кнаус","Готель / Гостиниця","Україна","",""
"Корал","Готель / Гостиниця","Україна","",""
"Магнат","Готель / Гостиниця","чернівці","",""
"Renting House Odessa","Готель / Гостиниця","Odesa","",""
"Гелікон","Готель / Гостиниця","Україна","",""
"Журавель","Готель / Гостиниця","Україна","",""
"Елітують готель","Готель / Гостиниця","Україна","",""
"На Танкистов 1","Готель / Гостиниця","Україна","",""
"Квасний потік","Готель / Гостиниця","Україна","",""
"Частный пансионат «Морское»","Готель / Гостиниця","Україна","",""
"У Вали","Готель / Гостиниця","Україна","",""
"Гуцулочка","Готель / Гостиниця","Україна","",""
"У Ярослава","Готель / Гостиниця","Україна","",""
"Ксенія","Готель / Гостиниця","Україна","",""
"Вилла Селям","Готель / Гостиниця","Україна","",""
"Садиба «Срібне джерело»","Готель / Гостиниця","Осій","",""
"Уют","Готель / Гостиниця","Україна","",""
"Край неба","Готель / Гостиниця","Україна","",""
"Поповы","Готель / Гостиниця","Україна","",""
"Пансионат ""Виктория""","Готель / Гостиниця","Україна","",""
"Отель Efsane","Готель / Гостиниця","Україна","https://efsane-hotel.com/","info@efsane-hotel.com"
"Жемчужина Дракона","Готель / Гостиниця","Україна","","pearl-dragon@mail.ru"
"Роздолля","Готель / Гостиниця","Україна","",""
"Залізничний пансіонат","Готель / Гостиниця","Україна","",""
"Донецький обласний центр реабілітації наркозалежної молоді","Готель / Гостиниця","Україна","",""
"Лукоморье","Готель / Гостиниця","Україна","","alena_riga@list.ru"
"Атлантика","Готель / Гостиниця","Україна","",""
"Юнга","Готель / Гостиниця","Україна","",""
"Ґруник","Готель / Гостиниця","Яремче","",""
"Вилла ""Южная соната""","Готель / Гостиниця","Україна","","soteras@mail.ru"
"KNZS","Готель / Гостиниця","Україна","",""
"GoodZone Club","Готель / Гостиниця","Україна","",""
"Pop Art Hostel","Готель / Гостиниця","Україна","",""
"Обуховські","Готель / Гостиниця","Україна","",""
"Отель Виа","Готель / Гостиниця","Україна","","vista_feo@mail.ru"
"Солнечный берег","Готель / Гостиниця","Ливадия","",""
"Отель Ливадийский","Готель / Гостиниця","Ливадия","http://spa-hotel-livadijskij.com/",""
"База відпочинку Медик","Готель / Гостиниця","Україна","",""
"Форелева ферма","Готель / Гостиниця","Україна","",""
"Атлант","Готель / Гостиниця","Україна","",""
"Наутілус","Готель / Гостиниця","Україна","",""
"Біолого-географічний стаціонар Львівського національного університету","Готель / Гостиниця","Україна","",""
"Поліська екологічна лабораторія Львівського лісотехнічного університету","Готель / Гостиниця","Україна","",""
"База відпочинку Полісянка","Готель / Гостиниця","Україна","",""
"Скольмо","Готель / Гостиниця","Україна","",""
"Маєток","Готель / Гостиниця","Україна","",""
"Каспий","Готель / Гостиниця","Україна","",""
"Мадрид","Готель / Гостиниця","Україна","",""
"Садиба ""Соняшник""","Готель / Гостиниця","Україна","",""
"Готель ""Візит""","Готель / Гостиниця","Україна","",""
"888","Готель / Гостиниця","Україна","",""
"Анна","Готель / Гостиниця","Україна","",""
"Океаніс","Готель / Гостиниця","Україна","","admin@oceanis.od.ua"
"Садиба У Андрія","Готель / Гостиниця","Україна","",""
"Hostel Kiev-Art","Готель / Гостиниця","Україна","",""
"Коралл","Готель / Гостиниця","Україна","",""
"Алушта","Готель / Гостиниця","Україна","","booking@alushta-hotel.ru"
"Belveder","Готель / Гостиниця","Україна","",""
"Lisobar","Готель / Гостиниця","Україна","",""
"База відпочинку ""Маяк""","Готель / Гостиниця","Україна","",""
"Night & Day","Готель / Гостиниця","Україна","",""
"На Тенистой","Готель / Гостиниця","Орлиное","",""
"Аллюр","Готель / Гостиниця","Україна","",""
"Бутік-вілла ""Provence""","Готель / Гостиниця","Буковинка","https://www.theprovencevillage.com/","boutiquevillaprovence@gmail.com"
"Каса-Бланка","Готель / Гостиниця","Затока","",""
"Робинзон","Готель / Гостиниця","Україна","",""
"Annabelle","Готель / Гостиниця","Україна","",""
"Гребінки","Готель / Гостиниця","Україна","",""
"4x4","Готель / Гостиниця","Колоденка","http://hotel4x4.com.ua/contact",""
"Турбаза Биюк-Янкой","Готель / Гостиниця","Україна","https://www.mramornoe.com/","kovalenko1979@mail.ru"
"Soviet home","Готель / Гостиниця","Україна","",""
"На Руській","Готель / Гостиниця","Україна","",""
"Мята","Готель / Гостиниця","Україна","",""
"Пансионат ""Терра Теана""","Готель / Гостиниця","Україна","",""
"Коттедж ""Татарская бухта""","Готель / Гостиниця","Україна","",""
"Гостевой дом ""Мариоланна""","Готель / Гостиниця","Україна","",""
"Мариамполь","Готель / Гостиниця","Україна","http://mariampol-hotel.com/","info@mariampol-hotel.com"
"Пансионат ""Дельта""","Готель / Гостиниця","Україна","",""
"Маєток ""Сокільське""","Готель / Гостиниця","Україна","",""
"Чайка Батилиман","Готель / Гостиниця","Україна","",""
"Ірис","Готель / Гостиниця","Україна","",""
"Синевир","Готель / Гостиниця","Україна","",""
"База відпочинку ""Ільз""","Готель / Гостиниця","Україна","https://karpaty-ilz.com/","nadjavoznjak@ukr.net"
"Менора","Готель / Гостиниця","Україна","",""
"7 Days City Hotel","Готель / Гостиниця","Україна","https://hotel-7days.com/","booking@hotel-7days.com; sales@menorah-center.com"
"The Georgehouse Hostel","Готель / Гостиниця","Україна","",""
"Васили","Готель / Гостиниця","Україна","",""
"Трискеле","Готель / Гостиниця","Україна","",""
"Інгул","Готель / Гостиниця","Україна","http://hotel-ingul.kr.ua","hotel-ingul@ukr.net"
"Турістіка","Готель / Гостиниця","Україна","",""
"Усадьба Байдары","Готель / Гостиниця","Україна","",""
"On the corner","Готель / Гостиниця","Коломия","",""
"Вилла ""Зоряника""","Готель / Гостиниця","Україна","",""
"King","Готель / Гостиниця","Україна","",""
"Круиз 3","Готель / Гостиниця","Україна","",""
"Дионис","Готель / Гостиниця","Україна","",""
"Дом отдыха Воронцово","Готель / Гостиниця","Україна","",""
"На Заречной","Готель / Гостиниця","Україна","","info@krym-solnechnogorskoe.ru"
"Вилла Балгатура","Готель / Гостиниця","Україна","",""
"ГурзуфЛайф","Готель / Гостиниця","Україна","","ooomyhome@yandex.ru"
"Крайня хата","Готель / Гостиниця","Україна","",""
"Аджи-Булат","Готель / Гостиниця","Україна","",""
"Греческая Хата","Готель / Гостиниця","Україна","",""
"Гостевой дом «Журавли»","Готель / Гостиниця","Україна","",""
"Єлисаветград","Готель / Гостиниця","Україна","",""
"Вега","Готель / Гостиниця","Україна","",""
"СМС ЮГ","Готель / Гостиниця","Україна","",""
"Башня","Готель / Гостиниця","Україна","",""
"У Толстяка","Готель / Гостиниця","Україна","",""
"Гірське джерело","Готель / Гостиниця","Україна","",""
"Пионерлагерь Атлантика","Готель / Гостиниця","Україна","",""
"Асотел","Готель / Гостиниця","Україна","http://www.asotel.com.ua/",""
"Hotel Imperial","Готель / Гостиниця","Україна","",""
"Bon Apart","Готель / Гостиниця","Україна","https://www.bonaparthotel.kiev.ua/","reception@bonaparthotel.kiev.ua; loyalty@uhm.com.ua"
"Арнаутський","Готель / Гостиниця","Україна","",""
"KARADENIZ","Готель / Гостиниця","Україна","",""
"Мини-отель ""Хуторок""","Готель / Гостиниця","Україна","",""
"Виктория","Готель / Гостиниця","Україна","",""
"Згарда","Готель / Гостиниця","Україна","https://bukovel-zgarda.com.ua/",""
"Калипсо","Готель / Гостиниця","Україна","","calipsokoktebel@mail.ru"
"Пансионат Дельфин","Готель / Гостиниця","Межводное","https://www.pansionat-delphin.com/",""
"Леон","Готель / Гостиниця","Україна","",""
"Волшебный край","Готель / Гостиниця","Україна","",""
"Байк Отель у Афзала","Готель / Гостиниця","Україна","",""
"Малибу","Готель / Гостиниця","Україна","",""
"Центр","Готель / Гостиниця","Україна","",""
"Греку","Готель / Гостиниця","Україна","http://hotel-greku.in.ua/",""
"Затишок над Прутом","Готель / Гостиниця","Україна","",""
"Motel М12","Готель / Гостиниця","Україна","",""
"Листригон","Готель / Гостиниця","Україна","",""
"Мартынова бухта","Готель / Гостиниця","Україна","",""
"МобиДик","Готель / Гостиниця","Україна","",""
"Государь","Готель / Гостиниця","Україна","","hotel_gosudar@mail.ru"
"Туристичний комплекс ""Ворохта""","Готель / Гостиниця","Ворохта","https://vorohta.com.ua/",""
"Fire Inn","Готель / Гостиниця","Україна","","info@fire-inn.com"
"Галинка","Готель / Гостиниця","Україна","",""
"Магнолия","Готель / Гостиниця","Україна","",""
"Винтаж-Отель","Готель / Гостиниця","Україна","",""
"Тихая гавань","Готель / Гостиниця","Україна","",""
"Мис Зюк","Готель / Гостиниця","Україна","",""
"Славия","Готель / Гостиниця","Україна","","reservations@slaviya-koktebel.ru"
"Тепсень","Готель / Гостиниця","Україна","",""
"Золотая балка","Готель / Гостиниця","Україна","","ankus@ukrpost.ua"
"У Рузанны","Готель / Гостиниця","Україна","",""
"Sunrise","Готель / Гостиниця","Україна","",""
"Горби","Готель / Гостиниця","Україна","",""
"Рота Chalet Marina","Готель / Гостиниця","Україна","",""
"У Олекси","Готель / Гостиниця","Україна","",""
"Золота рибка","Готель / Гостиниця","Україна","",""
"Великий боков","Готель / Гостиниця","Україна","",""
"Квіткова","Готель / Гостиниця","Україна","",""
"Ярдана","Готель / Гостиниця","Україна","",""
"У пана Ткачишина","Готель / Гостиниця","Україна","",""
"Надія","Готель / Гостиниця","Україна","",""
"Мар'яна","Готель / Гостиниця","Україна","",""
"У Тараса","Готель / Гостиниця","Україна","",""
"Лелека","Готель / Гостиниця","Україна","",""
"ДіАнна","Готель / Гостиниця","Україна","",""
"ДіАнна - Мед","Готель / Гостиниця","Україна","",""
"На Гірській","Готель / Гостиниця","Україна","",""
"Під замком","Готель / Гостиниця","Україна","","dorosh@drohobych.com.ua"
"Шале","Готель / Гостиниця","Україна","",""
"У Дам'яна","Готель / Гостиниця","Україна","",""
"У пана Миколая","Готель / Гостиниця","Україна","",""
"Над вуликом","Готель / Гостиниця","Україна","",""
"У Світлани","Готель / Гостиниця","Україна","",""
"Staro","Готель / Гостиниця","Україна","",""
"Семейный","Готель / Гостиниця","Україна","",""
"Арніка","Готель / Гостиниця","Україна","","gorgany@gmail.com"
"Вільні вітри","Готель / Гостиниця","Україна","",""
"У Артема","Готель / Гостиниця","Україна","",""
"Ocean Hostel","Готель / Гостиниця","Україна","",""
"Реал","Готель / Гостиниця","Україна","",""
"Котедж Кам'яний Двір","Готель / Гостиниця","Яремче","https://kamendvir.com.ua/",""
"Гостевой дом ""ВельТа""","Готель / Гостиниця","Песчаное","",""
"Лофт","Готель / Гостиниця","Україна","http://hostel-loft.com/",""
"Азовская","Готель / Гостиниця","Україна","",""
"Рош Рояль","Готель / Гостиниця","Україна","",""
"Родинний затишок","Готель / Гостиниця","Україна","",""
"СОМ","Готель / Гостиниця","Україна","",""
"У Оксани","Готель / Гостиниця","Україна","",""
"Аура Карпат","Готель / Гостиниця","Україна","",""
"Святослав","Готель / Гостиниця","Україна","",""
"Плай","Готель / Гостиниця","Україна","",""
"Під лісом","Готель / Гостиниця","Україна","",""
"Будинок Безнікова","Готель / Гостиниця","Україна","",""
"Богуславка","Готель / Гостиниця","Україна","",""
"Володимир","Готель / Гостиниця","Україна","",""
"Червона рута","Готель / Гостиниця","Україна","",""
"Северин","Готель / Гостиниця","Україна","",""
"Мальви","Готель / Гостиниця","Україна","",""
"Валерія","Готель / Гостиниця","Україна","",""
"У Доктора","Готель / Гостиниця","Україна","",""
"Зелена садиба","Готель / Гостиниця","Україна","",""
"Три корони","Готель / Гостиниця","Україна","",""
"Східниця","Готель / Гостиниця","Україна","",""
"Садиба Віталіни Степанівни","Готель / Гостиниця","Україна","",""
"Марічка","Готель / Гостиниця","Україна","",""
"Пегас","Готель / Гостиниця","Україна","",""
"У Наді","Готель / Гостиниця","Україна","",""
"Тетяна","Готель / Гостиниця","Україна","",""
"Два брати","Готель / Гостиниця","Україна","",""
"Злагода","Готель / Гостиниця","Україна","",""
"Золоте руно","Готель / Гостиниця","Україна","",""
"Пауза","Готель / Гостиниця","Україна","",""
"У Василіси","Готель / Гостиниця","Україна","",""
"У Андрія","Готель / Гостиниця","Україна","",""
"У Василя","Готель / Гостиниця","Україна","",""
"У Марії","Готель / Гостиниця","Україна","",""
"Відпочинок у Східниці","Готель / Гостиниця","Україна","",""
"Амор","Готель / Гостиниця","Україна","",""
"Богдан і Наталя","Готель / Гостиниця","Україна","",""
"Марія","Готель / Гостиниця","Україна","",""
"МІО","Готель / Гостиниця","Україна","",""
"Готель - ресторан ""Чарівне озеро""","Готель / Гостиниця","Україна","http://charivne-ozero.com.ua","ozerocharivne@gmail.com"
"Veronica","Готель / Гостиниця","Україна","","nzhuravchak99@gmail.com"
"Сонячна квітка","Готель / Гостиниця","Україна","",""
"Хатка біля річки Східничанки","Готель / Гостиниця","Україна","",""
"У горной речки","Готель / Гостиниця","Україна","",""
"Богданів хутір","Готель / Гостиниця","Україна","",""
"Лариса","Готель / Гостиниця","Україна","",""
"Відпочинок у Карпатах","Готель / Гостиниця","Україна","",""
"На Чорновола","Готель / Гостиниця","Україна","",""
"Монако","Готель / Гостиниця","Україна","",""
"Моряк","Готель / Гостиниця","Україна","",""
"Морская 5, Чтобы отдых удался!","Готель / Гостиниця","Україна","",""
"Диана","Готель / Гостиниця","Україна","",""
"Готель 52","Готель / Гостиниця","Україна","",""
"Hotel & hostel","Готель / Гостиниця","Україна","http://hostel.vn.ua/",""
"Лидер","Готель / Гостиниця","Україна","",""
"Титан","Готель / Гостиниця","Україна","",""
"Феномен","Готель / Гостиниця","Україна","",""
"Петрівська Слобода","Готель / Гостиниця","Міжгір’я","",""
"Гостиница Wind-Extreme Крым","Готель / Гостиниця","Оленевка","",""
"Sunday Apartments","Готель / Гостиниця","Україна","","info@sundayaparthotel.com"
"Odesa Apartments Cherkasets","Готель / Гостиниця","Одеса","",""
"База відпочинку ""Левада""","Готель / Гостиниця","Україна","",""
"Orly Park","Готель / Гостиниця","Україна","http://orlypark.com.ua","hotel@orlypark.com.ua"
"Шато Шафран","Готель / Гостиниця","Україна","",""
"Александрия","Готель / Гостиниця","Кацивели","",""
"Біля річки","Готель / Гостиниця","Кам’янець-Подільський","https://hotel-kp.com.ua/","info@hotel-kp.com.ua; bilyarichki@ukr.net"
"Аристократ","Готель / Гостиниця","Україна","",""
"Яхонт","Готель / Гостиниця","Україна","http://www.hotel-yahont.com/","tkyahont@gmail.com"
"Stan Gret","Готель / Гостиниця","Україна","",""
"Ландхаус","Готель / Гостиниця","Україна","",""
"Пансионат ""Эдем""","Готель / Гостиниця","Межводное","",""
"Краб","Готель / Гостиниця","Україна","",""
"Загородная усадьба","Готель / Гостиниця","Україна","",""
"Фараон","Готель / Гостиниця","Україна","","faraon1hotel@gmail.com"
"Пансіонат ""Маяк""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Волна""","Готель / Гостиниця","Україна","",""
"Лісова","Готель / Гостиниця","Україна","",""
"Садиба ""У Івана під липами""","Готель / Гостиниця","Україна","",""
"Узлісся","Готель / Гостиниця","Україна","",""
"ДОЛ Мультфильм","Готель / Гостиниця","Україна","",""
"Южный Бриз","Готель / Гостиниця","Україна","",""
"Отель ""Морской""","Готель / Гостиниця","Україна","",""
"Гостевой дом ""Солнышко""","Готель / Гостиниця","Україна","",""
"Адам та Єва","Готель / Гостиниця","Україна","",""
"Good Hostel","Готель / Гостиниця","Україна","goodhostel.lviv.ua",""
"Lviv Euro Hostel","Готель / Гостиниця","Україна","https://www.eurohostel.lviv.ua/","lviveurohostel@ukr.net"
"Yellow House Hostel","Готель / Гостиниця","Україна","https://www.yellowhouse.com.ua/",""
"Post House Hostel","Готель / Гостиниця","Україна","http://posthousehostel.com.ua/","posthousehostel@gmail.com"
"Ставне 158","Готель / Гостиниця","Ставне","",""
"Гостевія","Готель / Гостиниця","Україна","",""
"Чертур","Готель / Гостиниця","Україна","",""
"Симеиз-тур","Готель / Гостиниця","Симеиз","",""
"Зарінок","Готель / Гостиниця","Україна","",""
"Лікувально-оздоровчий комплекс ""Дружба""","Готель / Гостиниця","Україна","",""
"Князь Олег","Готель / Гостиниця","Україна","",""
"Мини-пансионат Береговое","Готель / Гостиниця","Україна","",""
"Элегант","Готель / Гостиниця","Україна","",""
"Мерджан","Готель / Гостиниця","Україна","",""
"Пролісок","Готель / Гостиниця","Україна","",""
"Леополис","Готель / Гостиниця","Україна","",""
"База отдыха Приморская","Готель / Гостиниця","Україна","",""
"Клеопатра","Готель / Гостиниця","Україна","",""
"У Друзей","Готель / Гостиниця","Україна","",""
"Пансионат ""Радуга""","Готель / Гостиниця","Україна","",""
"Риба Андрій","Готель / Гостиниця","Україна","",""
"Пансионат ""Пламя""","Готель / Гостиниця","Україна","",""
"Селена","Готель / Гостиниця","Україна","",""
"Гостиница ""Смерекова Хата""","Готель / Гостиниця","Україна","",""
"Фиеста","Готель / Гостиниця","Україна","",""
"""Весёлые медузы""","Готель / Гостиниця","Україна","",""
"Марлин","Готель / Гостиниця","Україна","",""
"Ксюша","Готель / Гостиниця","Україна","",""
"Гостиничный комплекс «Мегаполис»","Готель / Гостиниця","Україна","",""
"Лимановка","Готель / Гостиниця","Україна","",""
"Геджан","Готель / Гостиниця","Україна","",""
"Затін","Готель / Гостиниця","Україна","",""
"Новый Океан","Готель / Гостиниця","Україна","",""
"""Натали""","Готель / Гостиниця","Україна","",""
"Большая Медведица","Готель / Гостиниця","Україна","",""
"Мирослава","Готель / Гостиниця","Україна","",""
"Яна Каро","Готель / Гостиниця","Україна","",""
"У Алины","Готель / Гостиниця","Україна","",""
"""Эльвиза""","Готель / Гостиниця","Україна","",""
"У Сейрана","Готель / Гостиниця","Україна","",""
"Sofa hostel","Готель / Гостиниця","Україна","",""
